node,label,degree,weighted_degree,betweenness,closeness,eigenvector,pagerank,clustering_coef,core_number
308,HBDIS004118,5,1.7703570000000002,0.0,0.1430151098071501,0.024216747968349953,0.001127387891906512,0.4919972221293233,5
309,HBDIS004132,7,2.5327669999999998,0.001397967280009068,0.1534000829799801,0.018660631979468316,0.001644785299786392,0.17416891618394206,5
310,HBDIS004158,8,3.1789629999999995,0.0034256495510132114,0.1623466831992805,0.025757059289742385,0.001979791110570614,0.18274608824780067,5
311,HBDIS004172,9,2.154654,0.006158612611931839,0.11527947916554536,0.0030665892153833294,0.001773567513798701,0.021901570524878983,5
312,HBDIS004202,8,3.615092,0.0,0.17022502139024528,0.04657944607301733,0.0020923025296544218,0.2904933875784743,5
313,HBDIS004337,7,2.600238,0.01099482374277402,0.15707469641504188,0.019717560694958353,0.0017102685253427654,0.17951990000327675,5
314,HBDIS004421,6,2.3295660000000002,0.0005919320915353711,0.1542164661015176,0.029708460181853292,0.0014504293101969548,0.41609691626977124,5
315,HBDIS004428,12,2.019935,0.010025062656641603,0.11146094617520216,0.003335463301812089,0.002177090009028679,0.027420104169227077,5
316,HBDIS004431,7,3.482883,1.2594299819901513e-05,0.17083634183028398,0.04847078897208371,0.0019908081256004534,0.3906180057701584,5
317,HBDIS004945,5,3.622669,0.0,0.17944602280795052,0.05937826699288724,0.0018663131101619942,0.8914818924969573,5
318,HBDIS005061,7,3.3744560000000003,0.00028966889585773476,0.16914017650992189,0.04567682562206462,0.00192065323731427,0.38258560842022554,5
319,HBDIS005110,39,16.866766999999996,0.014441463793487066,0.1888465591026792,0.0713349261684309,0.009389044123856593,0.043632656685211435,5
320,HBDIS005400,5,3.2828779999999997,0.0,0.17406434689026065,0.051372378031425074,0.0017246983507195725,0.8348290757620862,5
321,HBDIS005410,9,2.3485850000000004,0.015768063374516694,0.14089851155700708,0.018029969286660206,0.0017624642685557354,0.13626306776085534,5
322,HBDIS005423,7,2.180752,0.008564123877533029,0.14676454411282822,0.01768969864190972,0.0015049246214655122,0.19647511969188525,5
323,HBDIS005431,9,3.962226999999999,0.006309744209770657,0.17061864516812897,0.04332913919330563,0.0023117645419890847,0.21537728562710032,5
324,HBDIS005450,6,3.3908650000000002,0.0,0.1725622347068038,0.04953541522959261,0.0018373966341337887,0.5430118839023982,5
325,HBDIS005454,6,3.0976619999999992,6.297149909950756e-05,0.16736199467242244,0.038675143115598026,0.0017322178694593703,0.44790586024020607,5
326,HBDIS005463,23,12.069411999999998,0.0034193524011032605,0.18840148797939268,0.07657959940311292,0.006297563068498008,0.1340523433926216,5
327,HBDIS005472,5,0.846642,0.00765733429050012,0.08090693097286546,0.0002970060635527247,0.0009028692017441164,0.0,5
328,HBDIS005473,5,2.5045710000000003,0.0,0.16102646145099164,0.028368617338219316,0.0014293432195435453,0.621504076758969,5
329,HBDIS006371,5,3.5555580000000004,0.0,0.177664587477874,0.055649982870622734,0.0018368202052210984,0.8804411234617124,5
330,HBDIS006784,8,4.57555,0.0006800921902746816,0.1807509561069996,0.06059031657708664,0.002452580384219419,0.36088889264408625,5
331,HBDIS006795,5,2.2332270000000003,0.0,0.1548101022559333,0.022676041233794044,0.0013294495496058026,0.4468350338731507,5
332,HBDIS007241,5,2.273746,1.2594299819901513e-05,0.15532281738164339,0.018772474497507026,0.0013624291537507789,0.3692528324904759,5
333,HBDIS007247,5,2.8315460000000003,0.0,0.16757571502402158,0.04093800554252956,0.001555393806083909,0.7517695502336884,5
334,HBDIS008042,5,2.2154030000000002,0.0,0.15355571587501265,0.022999910808948677,0.0013089712460822801,0.44527244726293497,5
335,HBDIS008573,6,1.9563610000000002,0.003967204443268976,0.14037384816462778,0.012177905987127967,0.0013545660336466202,0.14060013882213537,5
336,HBDIS008625,5,2.4844079999999997,0.0,0.15622901486872334,0.03195634495806891,0.0014435421273252867,0.5195025041621101,5
337,HBDIS008864,5,1.088559,0.0011460812836110376,0.09588859418393558,0.0009451684266150252,0.0010758484094344802,0.05349356374816788,5
338,HBDIS008893,9,5.139328,1.2594299819901513e-05,0.18239005420330376,0.061897906954260715,0.002768426654411131,0.253453134581275,5
339,HBDIS008919,5,2.949729,0.0,0.16900613985620977,0.046162307672024075,0.0015877446628919615,0.7773499825913344,5
340,HBDIS009027,6,2.084976,0.0033123008526340977,0.14707924770875766,0.016677143961592134,0.0013500320908133795,0.26627525557549586,5
341,HBDIS009571,5,1.964582,0.0,0.14763557843309644,0.0262666792664637,0.001196139925786135,0.5787693941857539,5
342,HBDIS009816,5,1.667817,0.00035264039495724235,0.13757044752936706,0.01025917809365612,0.0011598082456552837,0.19906316433504195,5
343,HBDIS009848,6,3.143732,0.0,0.16882891619625,0.03980744707286513,0.0017488924226531706,0.46278545675090554,5
344,HBDIS009980,7,0.9681020000000001,0.01841286633669601,0.08102195278502934,0.000751187437503789,0.0011199309614848255,0.025536885908134993,5
345,HBDIS009981,8,2.409859,0.0007556579891940908,0.14484166250076744,0.01221095118754601,0.0017021434951331313,0.08495697806964517,5
346,HBDIS009982,11,2.820024,0.024155867054571102,0.14459750450889436,0.015282650755971544,0.002140054433900387,0.05270317335918237,5
347,HBDIS010417,7,3.9850140000000005,0.0,0.17669134869374234,0.05553168325909939,0.0021516647815858817,0.44497824103320077,5
348,HBDIS010418,6,0.327008,0.019193712925529904,0.027930267401045827,4.1075086300110453e-07,0.0013957050454048666,0.029533003339798688,5
349,HBDIS010494,10,5.35173,0.001372778680369265,0.18203781995202561,0.06268580708647227,0.002880522640108486,0.26082622349962786,5
350,HBDIS010533,5,0.263509,0.012669865618820922,0.02235704118952837,5.736090251227222e-08,0.0012770715984990538,0.04285246861295099,5
351,HBDIS010623,7,3.436051,0.000541554892255765,0.16945249120749983,0.031934543837411594,0.0019656252226933593,0.34998186783616897,5
352,HBDIS010663,6,0.529072,0.027619299505044017,0.0535502086024443,5.472368488379882e-05,0.0010419069156087383,0.023483728597028644,5
353,HBDIS010795,5,2.646497,0.0,0.16338679539448375,0.02908402192352601,0.0015010597674991546,0.571117387068684,5
354,HBDIS011216,6,3.1928599999999996,3.778289945970454e-05,0.17003547437948924,0.0437155722895889,0.001764961245245671,0.5210220480747971,5
355,HBDIS011400,5,2.261405,0.0,0.15614214806545085,0.037071533793007046,0.0013059285883229512,0.6511494996961987,5
