alpha,roc_auc,pr_auc,average_precision
0.0,0.9322000056740174,0.9033059668544763,0.9033235763115159
0.1,0.9382358133087803,0.9145691009840101,0.9145837641373267
0.2,0.9426308842497588,0.9228026810178953,0.922815246413775
0.3,0.9456476418010019,0.9280651177508255,0.9280765271109055
0.4,0.948205892896904,0.9323327631183987,0.9323433248601576
0.5,0.9503561448891862,0.935913605033154,0.9359234836278959
0.6,0.9520665172508755,0.9388591414143537,0.9388684568988217
0.7,0.9535204842057422,0.9414177882545043,0.9414266154680696
0.8,0.9546942607314153,0.9435042803304943,0.9435127177283869
0.9,0.955601172171753,0.9451725123711137,0.9451806414667983
