leaf,s
MESH:C484001,6.172480000000002
MESH:C531598,4.750963200000001
MESH:C531599,6.172480000000002
MESH:C531600,6.644339200000001
MESH:C531601,7.893824000000002
MESH:C531604,4.541248000000001
MESH:C531607,8.933184000000004
MESH:C531609,5.200704000000001
MESH:C531613,3.6892800000000006
MESH:C531614,3.3616000000000006
MESH:C531615,5.578560000000001
MESH:C531617,7.242560000000003
MESH:C531619,6.4028800000000015
MESH:C531621,7.387200000000002
MESH:C531622,3.3616
MESH:C531624,4.688704000000001
MESH:C531633,5.262963200000001
MESH:C531638,6.484800000000001
MESH:C531639,3.3616000000000006
MESH:C531641,5.860160000000001
MESH:C531642,14.560883200000005
MESH:C531647,8.752960000000002
MESH:C531649,12.333888000000004
MESH:C531651,6.840128000000001
MESH:C531654,3.3616000000000006
MESH:C531660,5.435200000000001
MESH:C531662,4.161139200000001
MESH:C531664,6.684275200000002
MESH:C531667,4.688704000000001
MESH:C531673,5.226099200000001
MESH:C531684,6.914880000000002
MESH:C531689,7.426961920000002
MESH:C531691,5.762880000000001
MESH:C531698,5.7232
MESH:C531699,6.172480000000001
MESH:C531700,8.319808000000002
MESH:C531716,7.964480000000002
MESH:C531719,6.172480000000002
MESH:C531720,3.3616
MESH:C531729,12.303424000000005
MESH:C531731,12.759104000000004
MESH:C531732,8.476480000000002
MESH:C531735,3.6892800000000006
MESH:C531736,4.5136
MESH:C531737,6.812480000000002
MESH:C531742,9.300800000000002
MESH:C531743,4.868928
MESH:C531747,9.725760000000003
MESH:C531754,4.5136
MESH:C531755,6.725440000000002
MESH:C531760,3.3616
MESH:C531762,6.78816
MESH:C531763,5.435200000000001
MESH:C531766,3.6892800000000006
MESH:C531768,3.6892800000000006
MESH:C531774,6.025024000000001
MESH:C531777,9.354304
MESH:C531782,7.012160000000002
MESH:C531783,8.694848
MESH:C531784,3.9514240000000003
MESH:C531791,4.3610240000000005
MESH:C531795,3.9514240000000007
MESH:C531815,13.085760000000002
MESH:C531816,11.252800000000004
MESH:C531821,3.6892800000000006
MESH:C531833,4.7952
MESH:C531834,6.500160000000001
MESH:C531835,10.428480000000002
MESH:C531836,5.57856
MESH:C531841,4.283200000000001
MESH:C531844,7.042880000000002
MESH:C531847,3.689280000000001
MESH:C531849,7.299699200000003
MESH:C531854,7.089984000000001
MESH:C531857,12.081984000000002
MESH:C535269,7.1053440000000005
MESH:C535270,17.309760000000004
MESH:C535272,5.790528000000001
MESH:C535273,7.6124800000000015
MESH:C535274,10.869824000000005
MESH:C535276,7.406400000000002
MESH:C535277,11.062080000000003
MESH:C535278,11.062080000000003
MESH:C535279,11.062080000000003
MESH:C535280,4.898419200000001
MESH:C535281,13.134400000000005
MESH:C535282,16.975680000000004
MESH:C535283,13.565760000000003
MESH:C535284,5.8448
MESH:C535285,23.10048000000001
MESH:C535286,17.961280000000006
MESH:C535287,6.531904000000002
MESH:C535288,16.022080000000003
MESH:C535289,13.527360000000005
MESH:C535290,7.300160000000002
MESH:C535291,6.465600000000002
MESH:C535292,13.430080000000004
