leaf1,leaf2,result
MESH:C538544,MESH:D005355,0.3084876644198677
MESH:C538544,MESH:D005600,0.07280183800692994
MESH:C538544,MESH:D005756,0.15095218682662628
MESH:C538544,MESH:D005767,0.23492852703542566
MESH:C538544,MESH:D005770,0.16103867764988272
MESH:C538544,MESH:D005776,0.03616012292236908
MESH:C538544,MESH:D005902,0.07235726399095534
MESH:C538544,MESH:D005909,0.044582537798100064
MESH:C538544,MESH:D005910,0.0538012924919876
MESH:C538544,MESH:D005921,0.05618655692729766
MESH:C538544,MESH:D006008,0.05729312370614894
MESH:C538544,MESH:D006009,0.039040591031169775
MESH:C538544,MESH:D006073,0.05102874256154953
MESH:C538544,MESH:D006130,0.3084876644198677
MESH:C538544,MESH:D006258,0.08585825534978077
MESH:C538544,MESH:D006331,0.10441267868241143
MESH:C538544,MESH:D006332,0.1431454912443402
MESH:C538544,MESH:D006333,0.08585825534978077
MESH:C538544,MESH:D006394,0.0633977216443784
MESH:C538544,MESH:D006432,0.050887044675247226
MESH:C538544,MESH:D006470,0.3084876644198677
MESH:C538544,MESH:D006501,0.18284885039227247
MESH:C538544,MESH:D006519,0.21284225829900652
MESH:C538544,MESH:D006526,0.2553500181356547
MESH:C538544,MESH:D006556,0.0599777426345692
MESH:C538544,MESH:D006689,0.05817887985455279
MESH:C538544,MESH:D006816,0.07235726399095534
MESH:C538544,MESH:D006930,0.11646289451236848
MESH:C538544,MESH:D006934,0.06708986081183389
MESH:C538544,MESH:D006937,0.05471839264721599
MESH:C538544,MESH:D006943,0.07235726399095534
MESH:C538544,MESH:D006949,0.06231363719345219
MESH:C538544,MESH:D006965,0.3084876644198677
MESH:C538544,MESH:D006967,0.10441267868241143
MESH:C538544,MESH:D006976,0.07157274562217009
MESH:C538544,MESH:D006984,0.18480465938093055
MESH:C538544,MESH:D006996,0.06708986081183389
MESH:C538544,MESH:D007249,0.3084876644198677
MESH:C538544,MESH:D007333,0.06231363719345219
MESH:C538544,MESH:D007340,0.1034807994610375
MESH:C538544,MESH:D007410,0.1931810745370067
MESH:C538544,MESH:D007511,0.3084876644198677
MESH:C538544,MESH:D007669,0.09495963342788565
MESH:C538544,MESH:D007674,0.07256235827664398
MESH:C538544,MESH:D007680,0.05272069928149741
MESH:C538544,MESH:D007690,0.0487041812877859
MESH:C538544,MESH:D007859,0.11608607066540774
MESH:C538544,MESH:D007898,0.05364876822055605
MESH:C538544,MESH:D007938,0.08585825534978077
MESH:C538544,MESH:D007964,0.2571600021820959
MESH:C538544,MESH:D008103,0.5457421853690471
MESH:C538544,MESH:D008105,0.8015962994875516
MESH:C538544,MESH:D008106,0.6009476608027885
MESH:C538544,MESH:D008107,0.23492852703542566
